Thu Mar 24 12:32:11 CST 2022

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017a (9.2.0.538062) 64-bit (glnxa64)
                             February 23, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
[Warning: Data clipped when writing file.] 
[> In audiowrite>clipInputData (line 396)
  In audiowrite (line 176)
  In rfdlm_embed (line 131)
  In lc_main (line 17)
  In run (line 86)] 
128 52 52 54 
741 54 54 65 
747 54 54 62 
755 54 54 59 
776 52 52 58 
795 54 54 64 
796 54 54 61 
827 54 54 60 
832 54 54 60 
841 54 54 56 
858 54 54 58 
869 54 54 61 
888 54 54 58 
896 54 54 57 
908 54 54 55 
910 54 54 57 
912 54 54 55 
914 54 54 59 
915 54 54 57 
919 54 54 56 
920 52 52 56 
922 54 54 55 
926 54 54 57 
939 54 54 58 
940 54 54 57 
949 54 54 60 
980 54 54 54 
1001 54 54 55 
1051 52 52 53 
1077 54 54 57 
1079 54 54 62 
1249 62 62 60 
1252 62 62 59 
1259 60 60 56 
3348 3 3 46 
3417 3 3 49 
5369 45 45 58 
5375 45 45 53 
5383 45 45 56 
5404 41 41 54 
5423 45 45 53 
5424 45 45 52 
5455 45 45 52 
5460 45 45 55 
5469 45 45 51 
5486 45 45 51 
5497 45 45 54 
5516 45 45 51 
5524 45 45 54 
5536 45 45 52 
5538 45 45 54 
5540 45 45 56 
5542 45 45 54 
5543 45 45 54 
5547 45 45 57 
5548 41 41 55 
5550 45 45 50 
5554 45 45 54 
5567 45 45 51 
5568 45 45 50 
5577 45 45 51 
5608 45 45 51 
5629 45 45 54 
5679 41 41 52 
5705 45 45 52 
5707 45 45 51 
5877 61 61 53 
5880 61 61 50 
5887 57 57 51 
7976 6 6 53 
8045 6 6 54 
9974 26 26 55 
Thu Mar 24 12:42:20 CST 2022
