Fri Apr  1 09:37:05 CST 2022

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017a (9.2.0.538062) 64-bit (glnxa64)
                             February 23, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

audio_files_root =

    './results/test/audio/re_record/20/*.wav'

srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** STEP 141275.0 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
slurmstepd: error: *** JOB 141275 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
3326 32 32 50 
3344 0 0 50 
3354 32 32 52 
3364 32 32 50 
3373 32 32 51 
3384 32 32 52 
3385 32 32 52 
3389 32 32 52 
3392 0 0 52 
3394 32 32 49 
3412 0 0 48 
3427 32 32 49 
3430 0 0 53 
3440 0 0 51 
3443 32 32 53 
3444 0 0 51 
3446 0 0 53 
3448 0 0 50 
3451 32 32 53 
3458 32 32 53 
3462 0 0 53 
3467 32 32 54 
3473 0 0 52 
3474 32 32 55 
3495 32 32 55 
3501 32 32 57 
3509 0 0 54 
3530 34 34 57 
3534 34 34 59 
3537 0 0 52 
3584 2 2 57 
3630 2 2 53 
3648 2 2 54 
3667 2 2 54 
3672 2 2 55 
3674 2 2 51 
3715 2 2 55 
29 53 53 50 
44 21 21 48 
49 53 53 51 
95 53 53 50 
709 57 57 66 
860 57 57 64 
878 57 57 60 
902 57 57 59 
918 57 57 59 
919 57 57 62 
922 57 57 61 
923 57 57 61 
934 57 57 61 
949 57 57 63 
981 57 57 62 
992 57 57 63 
1005 57 57 63 
1042 57 57 63 
1062 57 57 58 
1320 9 9 57 
1443 8 8 59 
1447 8 8 59 
1456 8 8 56 
1463 8 8 58 
1479 8 8 59 
1494 8 8 58 
1495 8 8 57 
1579 12 12 58 
935 42 42 69 
1116 43 43 53 
2985 18 18 61 
2990 18 18 61 
2991 18 18 61 
2992 18 18 60 
2993 50 50 66 
3000 18 18 61 
3002 18 18 62 
3003 18 18 64 
3009 18 18 63 
3013 18 18 62 
3014 18 18 58 
3015 18 18 59 
3017 50 50 62 
3019 18 18 62 
3020 18 18 60 
3026 18 18 63 
3027 50 50 64 
3031 18 18 59 
3033 18 18 61 
3037 50 50 63 
3057 18 18 61 
3062 18 18 62 
3070 18 18 63 
3080 18 18 61 
3082 18 18 59 
3088 18 18 62 
3092 18 18 65 
3099 18 18 60 
3108 18 18 61 
3115 18 18 61 
3943 2 2 52 
3986 18 18 51 
138 42 42 59 
143 42 42 60 
146 42 42 61 
152 42 42 58 
153 42 42 59 
162 42 42 62 
163 42 42 60 
164 42 42 63 
165 42 42 66 
168 42 42 61 
169 42 42 65 
185 42 42 61 
192 42 42 62 
195 42 42 62 
199 42 42 61 
215 42 42 63 
217 42 42 62 
232 42 42 64 
260 46 46 71 
265 14 14 65 
270 42 42 66 
285 46 46 69 
290 46 46 68 
291 42 42 63 
314 42 42 65 
315 42 42 65 
357 46 46 65 
359 46 46 71 
368 42 42 69 
980 60 60 73 
3017 23 23 52 
3093 23 23 52 
3358 6 6 56 
3370 6 6 57 
3371 6 6 55 
3381 6 6 55 
3382 6 6 56 
3393 6 6 51 
3407 6 6 50 
3420 6 6 52 
3424 6 6 53 
3458 6 6 50 
3462 6 6 49 
3464 6 6 54 
3465 6 6 51 
3473 6 6 50 
3476 6 6 52 
3494 6 6 50 
3495 6 6 50 
3497 6 6 51 
3498 6 6 53 
3503 6 6 53 
3535 6 6 54 
3536 6 6 51 
3546 6 6 53 
3548 6 6 51 
3550 6 6 51 
3556 6 6 51 
3562 6 6 54 
3567 6 6 55 
3579 6 6 51 
3581 6 6 51 
3584 6 6 53 
3592 6 6 55 
3610 6 6 51 
3624 6 6 53 
3628 6 6 55 
3635 6 6 56 
3989 7 7 58 
14 2 2 53 
37 2 2 52 
44 34 34 54 
70 34 34 55 
72 34 34 57 
81 2 2 47 
91 2 2 50 
101 2 2 50 
113 2 2 45 
129 2 2 49 
