>> lc_main
Warning: Data clipped when writing file. 
> In audiowrite>clipInputData (line 470)
In audiowrite (line 241)
In rfdlm_embed (line 131)
In lc_main (line 17) 
1469 23 23 96 
1503 23 23 100 
1556 23 23 106 
1559 23 23 103 
1560 23 23 106 
1562 23 23 103 
1565 23 23 99 
1567 23 23 104 
1568 23 23 101 
1573 23 23 102 
1578 23 23 102 
1592 23 23 101 
1595 23 23 103 
1599 23 23 104 
1601 23 23 100 
1603 23 23 107 
1605 23 23 103 
1608 23 23 103 
1610 23 23 103 
1611 23 23 97 
1613 23 23 96 
1615 23 23 103 
1618 23 23 104 
1619 23 23 104 
1623 23 23 104 
1626 23 23 102 
1627 23 23 104 
1629 23 23 102 
1632 23 23 98 
1634 23 23 98 
1635 23 23 102 
1637 23 23 100 
1638 23 23 105 
1639 23 23 98 
1642 23 23 101 
1645 23 23 101 
1649 23 23 102 
1650 23 23 101 
1658 23 23 106 
1663 23 23 103 
1664 23 23 107 
1672 23 23 107 
1677 23 23 103 
1682 23 23 98 
1748 23 23 107 
1753 23 23 108 
1761 23 23 107 
1762 23 23 106 
1766 23 23 104 
1768 23 23 106 
1771 23 23 107 
1774 23 23 108 
1776 23 23 107 
1777 23 23 108 
1778 23 23 106 
1780 23 23 107 
1781 23 23 100 
1782 23 23 104 
1785 23 23 108 
1786 23 23 109 
1788 23 23 113 
1791 23 23 108 
1793 23 23 103 
1794 23 23 106 
1796 23 23 112 
1797 23 23 109 
1798 23 23 105 
1800 23 23 112 
1801 23 23 112 
1802 23 23 109 
1803 23 23 111 
1805 23 23 111 
1807 23 23 113 
1808 23 23 107 
1809 23 23 115 
1810 23 23 109 
1812 23 23 110 
1813 23 23 106 
1815 23 23 111 
1820 23 23 110 
1821 23 23 107 
1829 23 23 109 
1843 23 23 106 
1972 31 31 112 
2851 38 38 118 
2920 54 54 120 
2928 54 54 120 
2948 38 38 127 
3009 54 54 118 
3011 54 54 111 
3012 54 54 122 
3022 54 54 118 
3024 54 54 122 
3030 54 54 122 
3032 54 54 118 
3033 54 54 115 
3034 54 54 120 
3052 22 22 116 
3055 54 54 118 
3062 54 54 112 
3065 54 54 122 
3076 54 54 117 
3079 54 54 118 
3082 54 54 109 
3090 54 54 118 
3101 54 54 116 
3103 54 54 120 
3106 54 54 118 
3113 54 54 120 
3136 22 22 113 
3166 62 62 122 
3189 62 62 124 
3197 62 62 119 
3783 46 46 123 
3796 46 46 125 
3817 46 46 123 
3830 46 46 120 
3831 46 46 119 
3851 46 46 120 
3852 46 46 124 
3854 46 46 124 
3855 46 46 126 
3858 46 46 123 
3862 46 46 124 
3869 46 46 125 
3870 46 46 123 
3873 46 46 118 
3874 46 46 119 
3876 46 46 127 
3878 46 46 122 
3879 46 46 124 
3881 46 46 119 
3882 46 46 117 
3887 46 46 121 
3888 46 46 125 
3892 46 46 121 
3906 46 46 117 
3907 46 46 125 
3909 46 46 124 
3913 46 46 122 
3915 46 46 117 
3917 46 46 122 
3919 46 46 118 
3920 46 46 124 
3922 46 46 116 
3924 46 46 115 
3925 46 46 122 
3927 46 46 120 
3929 46 46 121 
3932 46 46 118 
3933 46 46 117 
3935 46 46 118 
3937 46 46 121 
3940 46 46 119 
3941 46 46 123 
3943 46 46 114 
3946 46 46 117 
3948 46 46 119 
3949 46 46 116 
3951 46 46 116 
3952 46 46 117 
3953 46 46 116 
3959 46 46 117 
3960 46 46 125 
3963 46 46 118 
3964 46 46 111 
3969 46 46 119 
3971 46 46 114 
3972 46 46 113 
3977 46 46 115 
3978 46 46 115 
3979 46 46 115 
3983 46 46 112 
3986 46 46 117 
3991 46 46 111 
3993 46 46 118 
3996 46 46 110 
4062 46 46 116 
4067 46 46 114 
4075 46 46 121 
4076 46 46 110 
4080 46 46 116 
4082 46 46 108 
4085 46 46 121 
4088 46 46 110 
4090 46 46 117 
4091 46 46 112 
4092 46 46 114 
4094 46 46 111 
4095 46 46 116 
4096 46 46 119 
4099 46 46 116 
4100 46 46 111 
4102 46 46 112 
4105 46 46 112 
4107 46 46 119 
4108 46 46 116 
4110 46 46 115 
4111 46 46 116 
4112 46 46 111 
4114 46 46 119 
4115 46 46 116 
4116 46 46 111 
4117 46 46 115 
4119 46 46 117 
4121 46 46 118 
4122 46 46 119 
4123 46 46 123 
4124 46 46 121 
4126 46 46 112 
4127 46 46 114 
4129 46 46 117 
4134 46 46 118 
4135 46 46 117 
4143 46 46 115 
4157 46 46 121 
4286 62 62 118 
4872 13 13 112 
4907 13 13 115 
5154 13 13 113 
5165 13 13 113 
5170 13 13 112 
5197 45 45 117 
5208 45 45 111 
5212 45 45 114 
5213 45 45 115 
5220 45 45 113 
5240 45 45 111 
5305 13 13 118 
5319 45 45 111 
5321 45 45 114 
5323 45 45 115 
5324 45 45 115 
5325 45 45 115 
5326 45 45 113 
5329 45 45 111 
5331 45 45 114 
5332 45 45 115 
5334 45 45 114 
5336 45 45 111 
5337 45 45 113 
5338 45 45 112 
5339 45 45 111 
5340 45 45 116 
5341 45 45 115 
5343 45 45 112 
5344 45 45 119 
